section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Midday,Set1,Draw1,7,24,3,2,0.0,2,0.0,False,False,False,False,False,False,True,3,1,3,1,25,0,0,0,13344668:1;1334:1;33446689:1,44133866:1;4133:1;96683344:1,6,2,1,0.0,0,0,0,0,0,0,0.5,0,4,4,1,0.0,18.5,72.5,3,True,False,202,968,True,True,True
Midday,Set1,Draw2,3,24,2,2,0.0,5,1.0,False,False,False,False,False,True,True,1,7,1,7,3,3,0,0,3466:1;33466:1;3346:1,3664:1;66334:1;6334:1,4,5,1,0.0,0,1,0,0,0,1,0.5,0,6,0,0,0.0,18.5,72.5,1,False,False,202,968,True,True,True
Combined,Set1,Draw3,5,24,3,2,0.0,3,0.0,False,False,False,False,False,False,True,2,3,2,3,41,0,0,0,134499:1;1334499:1;33468899:1,994413:1;9944133:1;99688334:1,6,3,1,0.0,0,0,0,0,0,0,0.5,0,4,4,0,0.0,18.5,72.5,3,False,False,202,968,True,True,True
Midday,Set1,Draw2,2,24,2,2,0.0,5,1.0,False,False,False,False,False,True,True,1,7,1,7,2,0,2,0,3466:1;346:1,6634:1;634:1,4,5,1,0.0,0,1,0,0,0,1,0.5,0,6,0,0,0.0,18.5,72.5,1,False,False,202,968,True,True,True
Midday,Set1,Draw6,1,24,2,2,0.0,2,1.0,False,False,False,False,False,True,True,2,7,2,7,27,27,0,0,3466:1;1134466:1;346:1,6634:1;6634411:1;634:1,4,2,1,0.0,0,1,0,0,0,1,0.5,0,8,1,0,0.0,18.5,72.5,2,False,False,202,968,True,True,True
Evening,Set1,Draw7,1,24,3,2,0.0,1,0.0,False,False,False,False,False,True,True,2,3,2,3,32,0,0,0,11344899:1;11344689:1;344689:1,99441138:1;94411386:1;968344:1,6,1,1,0.0,0,0,0,0,0,1,0.5,0,4,4,0,0.0,17.5,72.5,3,False,False,202,968,True,True,True
Midday,Set1,Draw5,2,24,2,2,0.0,3,1.0,False,False,False,False,False,True,True,1,7,1,7,12,0,12,0,3466:1;3446699:1;346:1,6634:1;9936644:1;634:1,4,3,1,0.0,0,1,0,0,0,1,0.5,0,6,1,0,0.0,17.5,72.5,2,False,False,202,968,True,True,True
Midday,Set1,Draw5,1,24,2,2,0.0,3,1.0,False,False,False,False,False,True,True,1,7,1,7,12,0,12,0,3466:1;3446699:1;346:1,6634:1;9936644:1;634:1,4,3,1,0.0,0,1,0,0,0,1,0.5,0,6,1,0,0.0,17.5,72.5,2,False,False,202,968,True,True,True
Midday,Set1,Draw3,3,24,2,2,0.0,3,1.0,False,False,False,False,False,True,True,1,7,1,7,3,3,0,0,3466:1;33466:1;3346:1,3664:1;66334:1;6334:1,4,3,1,0.0,0,1,0,0,0,1,0.5,0,6,1,0,0.0,17.5,72.5,2,False,False,202,968,True,True,True
Midday,Set1,Draw7,1,24,2,2,0.0,1,0.0,False,False,False,False,False,True,True,1,7,1,7,23,0,0,0,3466:1;11366899:1;13466899:1,3664:1;11998366:1;19983664:1,4,1,1,0.0,0,0,0,0,0,1,0.5,0,6,4,0,0.0,17.5,72.5,3,False,False,202,968,True,True,True
Midday,Set1,Draw2,5,24,2,2,0.0,5,0.0,False,False,False,False,False,False,True,1,7,1,7,3,0,0,0,3466:1;33466:1;3346:1,3664:1;66334:1;6334:1,4,5,1,0.0,0,0,0,0,0,0,0.5,0,6,1,0,0.0,17.5,72.5,2,False,False,202,968,True,True,True
Midday,Set1,Draw3,2,24,2,2,0.0,3,1.0,False,False,False,False,False,True,True,1,7,1,7,2,0,2,0,3466:1;346:1,6634:1;634:1,4,3,1,0.0,0,1,0,0,0,1,0.5,0,6,0,0,0.0,16.5,72.5,1,False,False,202,968,True,True,True
Midday,Set1,Draw4,2,24,2,2,0.0,3,1.0,False,False,False,False,False,True,True,1,7,1,7,5,0,5,0,3466:1;346:1;34669:1,6634:1;634:1;93664:1,4,3,1,0.0,0,1,0,0,0,1,0.5,0,6,0,0,0.0,16.5,72.5,1,False,False,202,968,True,True,True
Midday,Set1,Draw4,1,24,2,2,0.0,3,1.0,False,False,False,False,False,True,True,1,7,1,7,5,0,5,0,3466:1;346:1;34669:1,6634:1;634:1;93664:1,4,3,1,0.0,0,1,0,0,0,1,0.5,0,6,0,0,0.0,16.5,72.5,1,False,False,202,968,True,True,True
Midday,Set1,Draw6,2,24,2,1,0.0,2,0.0,False,False,False,False,False,True,True,2,7,2,7,20,0,0,0,3466:1;1134466:1;346:1,6634:1;6634411:1;634:1,4,2,0,0.0,0,0,0,0,0,1,0.5,0,8,1,0,0.0,16.5,72.5,2,False,False,202,968,True,True,True
Combined,Set1,Draw7,1,24,3,2,0.0,1,0.0,False,False,False,False,False,True,True,2,2,2,2,23,0,0,0,1134499:1;11344699:1;1134469:1,9944113:1;99441136:1;9441136:1,6,1,1,0.0,0,0,0,0,0,1,0.5,0,3,4,0,0.0,16.5,72.5,3,False,False,202,968,True,True,True
Evening,Set1,Draw1,6,24,2,2,0.0,2,0.0,False,False,False,False,False,False,True,2,3,2,3,2,0,0,0,3468:1;346:1,6834:1;364:1,4,2,1,0.0,0,0,0,0,0,0,0.5,0,4,4,1,0.0,16.5,72.5,3,True,False,202,968,True,True,True
