section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Evening,Set3,Draw1,6,13,2,2,0.0,1,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,038:1,038:1,4,1,1,0.0,0,0,0,0,0,0,0.0,0,4,0,1,0.0,11.0,32.5,1,True,False,885,587,True,True,False
Evening,Set1,Draw1,7,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,3,2,3,2,0,0,0,0,038:1,038:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,5,1,1,0.0,10.0,32.5,2,True,False,885,587,True,True,False
Evening,Set2,Draw1,6,11,2,2,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,055778:1;05778:1;0355778:1,877055:1;87705:1;8770553:1,4,2,1,0.0,0,0,0,0,0,0,0.0,0,2,0,1,0.0,10.0,19.0,1,True,False,885,587,True,True,False
Evening,Set3,Draw1,5,11,2,2,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,078:1;05578:1;0578:1,870:1;87055:1;8705:1,4,2,1,0.0,0,0,0,0,0,0,0.0,0,2,0,1,0.0,10.0,19.0,1,True,False,885,587,True,True,False
Evening,Set2,Draw1,7,11,2,2,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,055778:1;05778:1;0355778:1,877055:1;87705:1;8770553:1,4,2,1,0.0,0,0,0,0,0,0,0.0,0,2,0,1,0.0,10.0,19.0,1,True,False,885,587,True,True,False
Evening,Set3,Draw1,6,11,2,2,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,03557:1;078:1;05578:1,70553:1;870:1;87055:1,4,2,1,0.0,0,0,0,0,0,0,0.0,0,2,0,1,0.0,10.0,19.0,1,True,False,885,587,True,True,False
Midday,Set1,Draw1,6,11,2,1,0.0,3,0.0,False,False,False,False,False,False,False,1,2,1,2,0,0,0,0,033577:1;03357:1;03577:1,770533:1;70533:1;77053:1,4,3,0,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0.0,9.0,19.0,2,False,False,885,587,True,True,False
Midday,Set1,Draw2,6,11,2,2,0.0,2,0.0,False,False,False,False,False,False,False,1,2,1,2,0,0,0,0,03355778:1;02335577:1;0233557:1,87705533:1;77055332:1;7055332:1,4,2,1,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0.0,9.0,19.0,2,False,False,885,587,True,True,False
Midday,Set1,Draw1,5,11,2,1,0.0,3,1.0,False,False,False,False,False,False,False,1,2,1,2,0,4,0,0,03357:1;0357:1;0337:1,70533:1;7053:1;7033:1,4,3,0,0.0,0,1,0,0,0,0,0.0,0,1,0,0,0.0,9.0,19.0,1,False,False,885,587,True,True,False
Evening,Set1,Draw2,6,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,3,2,3,2,0,0,0,0,038:1,038:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,5,1,0,0.0,9.0,32.5,2,False,False,885,587,True,True,False
Midday,Set1,Draw3,5,13,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,4,1,4,0,0,0,0,033:1,033:1,2,2,0,0.0,0,0,0,0,0,0,0.0,1,3,0,0,0.0,8.0,32.5,1,False,False,885,587,True,True,False
