section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Midday,Set1,Draw3,3,559,straight,30.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,4,559,3,5.0,True,6,4,0,0.0,9,0,0,1,0,0.0,0,0.5,2,2,5,2,6,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Midday,Set1,Draw3,1,455,boxed,30.5,"R2,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,5,554,2,5.0,True,6,5,1,0.0,3,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Midday,Set1,Draw4,2,559,straight,30.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,3,559,3,5.0,True,6,3,0,0.0,9,0,0,2,0,0.0,0,0.5,2,2,5,2,6,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Midday,Set1,Draw6,2,559,straight,30.5,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1,0,1,559,3,5.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,2,2,5,2,6,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Combined,Set1,Draw1,3,255,boxed,30.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,2,2,0,7,552,2,3.0,False,6,7,1,0.0,3,0,0,2,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat7|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw1,2,255,boxed,30.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,2,2,0,7,552,2,3.0,False,6,7,1,0.0,3,0,0,2,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat7|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw3,1,255,boxed,30.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,2,2,0,5,552,2,3.0,False,6,5,1,0.0,3,0,0,4,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7
Evening,Set3,Draw1,1,55,straight,30.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,True,1,1,0,1,55,4,,False,8,1,0,0.0,9,0,6,2,0,1.0,-1,0.0,2,2,0,2,1,0,False,straight|cov4|vstr2|vstr3|cons_full|consensus_tail|hot1|dom_pair|vtrac_straight|set_chain2
Evening,Set2,Draw1,1,55,straight,30.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,True,1,1,0,1,55,4,,False,8,1,0,0.0,9,0,6,2,0,1.0,-1,0.0,2,2,0,2,1,0,False,straight|cov4|vstr2|vstr3|cons_full|consensus_tail|hot1|dom_pair|vtrac_straight|set_chain2
Combined,Set3,Draw1,2,455,boxed,29.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,7,554,3,5.0,True,8,7,1,0.0,7,0,0,1,0,0.0,0,0.5,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|perm2|hidden3v|double_mirror|set_chain3
Combined,Set2,Draw1,3,455,boxed,29.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,7,554,3,5.0,True,8,7,1,0.0,7,0,0,1,0,0.0,0,0.5,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|perm2|hidden3v|double_mirror|set_chain3
Combined,Set2,Draw1,2,455,boxed,29.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,7,554,3,5.0,True,8,7,1,0.0,7,0,0,1,0,0.0,0,0.5,0,4,0,3,1,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|perm2|hidden3v|double_mirror|set_chain3
Combined,Set1,Draw1,3,2455,boxed,29.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,6,5524,2,12.0,True,8,6,2,0.0,3,0,0,2,0,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat6|vstr2|hot2|perm3|hidden3v|set_chain2|draw_chain6
Combined,Set1,Draw1,2,2455,boxed,29.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,6,5524,2,12.0,True,8,6,2,0.0,3,0,0,2,0,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat6|vstr2|hot2|perm3|hidden3v|set_chain2|draw_chain6
Combined,Set1,Draw3,3,559,straight,29.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,3,559,3,5.0,True,6,3,0,0.0,9,0,0,1,0,0.0,0,0.5,2,2,5,2,6,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Combined,Set1,Draw3,1,2455,boxed,29.5,"R2,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,4,5524,2,12.0,True,6,4,1,0.0,3,0,0,4,0,3.0,1,0.5,0,2,5,2,6,0,False,boxed|cov3|hp_repeat4|vstr2|hot2|dom_last|perm2|hidden3v|set_chain2|draw_chain6
Combined,Set1,Draw4,1,224,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,224,3,28.0,True,6,4,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,3,1,4,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4
Combined,Set1,Draw5,2,559,straight,29.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,2,559,3,5.0,True,6,2,0,0.0,9,0,0,2,0,0.0,0,0.5,2,2,5,2,6,1,True,straight|cov3|hp_repeat2|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Combined,Set1,Draw7,1,244,straight,29.5,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,1,0,1,244,3,31.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,2,4,2,3,3,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3
Evening,Set1,Draw3,2,244,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw5,1,244,straight,29.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,244,3,31.0,True,6,3,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw7,1,559,straight,29.5,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1,0,1,559,3,5.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,2,4,2,3,3,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3
Midday,Set2,Draw1,1,0557,boxed,29.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,1,2,0,6,5507,2,3.0,True,8,6,1,0.0,3,0,0,2,1,3.0,1,0.5,0,4,0,3,1,0,False,boxed|cov4|hp_repeat6|vstr2|mirror|hot1|dom_last|perm2|hidden3v|set_chain3
Midday,Set1,Draw2,4,559,straight,29.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,5,559,3,5.0,True,6,5,0,0.0,9,0,0,1,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot1|hidden3v|double_mirror|set_chain2|draw_chain6
Midday,Set1,Draw2,2,0559,boxed,29.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,2,3,0,5,5590,2,5.0,True,8,5,2,0.0,3,0,0,2,1,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat5|vstr2|mirror|hot2|perm3|hidden3v|set_chain2|draw_chain6
Midday,Set1,Draw4,1,455,boxed,29.5,"R2,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,4,554,2,5.0,True,6,4,1,0.0,3,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Midday,Set1,Draw5,2,559,straight,29.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,2,559,3,5.0,True,6,2,0,0.0,9,0,0,2,0,0.0,0,0.5,2,2,5,2,6,1,True,straight|cov3|hp_repeat2|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Combined,Set1,Draw1,4,255,boxed,29.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,1,2,0,7,552,2,3.0,False,6,7,1,0.0,3,0,0,1,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat7|vstr2|hot1|perm2|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw2,2,255,boxed,29.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,2,2,0,6,552,2,3.0,False,6,6,1,0.0,3,0,0,2,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw4,1,255,boxed,29.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,2,2,0,4,552,2,3.0,False,6,4,1,0.0,3,0,0,4,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw1,7,559,straight,28.5,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1,0,1,559,3,5.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|set_chain2|draw_chain6
Combined,Set1,Draw1,4,2455,boxed,28.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,6,5524,2,12.0,True,8,6,2,0.0,3,0,0,1,0,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat6|vstr2|hot1|perm3|hidden3v|set_chain2|draw_chain6
Combined,Set1,Draw1,1,455,boxed,28.5,"R4,R8",False,False,False,False,False,False,False,False,False,2,2,0,7,554,1,5.0,True,4,7,1,0.0,1,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov2|hp_repeat7|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw2,4,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,4,559,3,5.0,True,6,4,0,0.0,9,0,0,1,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|hidden3v|double_mirror|set_chain2|draw_chain6
Combined,Set1,Draw5,1,224,straight,28.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,224,3,28.0,True,6,3,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,3,1,4,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4
Evening,Set1,Draw3,3,244,straight,28.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,1,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw4,2,244,straight,28.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,244,3,31.0,True,6,4,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw5,2,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,2,559,3,5.0,True,6,2,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,2,3,3,1,True,straight|cov3|hp_repeat2|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3
Midday,Set1,Draw1,5,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,4,559,3,5.0,True,6,4,0,0.0,9,0,0,1,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|hidden3v|double_mirror|set_chain2|draw_chain6
Midday,Set1,Draw1,4,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,4,559,3,5.0,True,6,4,0,0.0,9,0,0,1,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|hidden3v|double_mirror|set_chain2|draw_chain6
Midday,Set1,Draw1,3,455,boxed,28.5,"R2,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,5,554,2,5.0,True,6,5,1,0.0,3,0,0,2,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Midday,Set1,Draw1,2,0557,boxed,28.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,2,2,0,6,5507,2,3.0,True,8,6,1,0.0,3,0,0,2,1,0.0,1,0.5,0,4,2,3,3,0,False,boxed|cov4|hp_repeat6|vstr2|mirror|hot2|perm2|hidden3v|set_chain3|draw_chain3
Midday,Set1,Draw2,6,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,0,1,0,5,559,3,5.0,True,6,5,0,0.0,9,0,0,0,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hidden3v|double_mirror|set_chain2|draw_chain6
Midday,Set1,Draw2,5,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,0,1,0,5,559,3,5.0,True,6,5,0,0.0,9,0,0,0,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hidden3v|double_mirror|set_chain2|draw_chain6
Midday,Set1,Draw4,3,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,0,1,0,3,559,3,5.0,True,6,3,0,0.0,9,0,0,0,0,0.0,0,0.5,2,2,5,2,6,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Combined,Set1,Draw3,2,255,boxed,28.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,2,2,0,5,552,2,3.0,False,6,5,1,0.0,3,0,0,2,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw5,1,255,boxed,28.0,"R2,R4,R6",False,True,False,False,False,False,False,False,False,2,2,0,3,552,2,3.0,False,6,3,1,0.0,3,0,0,4,0,0.0,0,0.0,0,4,6,3,7,1,True,boxed|cov3|hp_repeat3|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw1,1,245,boxed,27.5,"R2,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,6,524,2,12.0,True,6,6,1,0.0,3,0,0,4,0,0.0,0,0.5,0,2,5,2,6,0,False,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain6
Combined,Set1,Draw2,6,559,straight,27.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,0,1,0,4,559,3,5.0,True,6,4,0,0.0,9,0,0,0,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hidden3v|double_mirror|set_chain2|draw_chain6
Combined,Set1,Draw2,5,559,straight,27.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,0,1,0,4,559,3,5.0,True,6,4,0,0.0,9,0,0,0,0,0.0,0,0.5,0,2,5,2,6,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hidden3v|double_mirror|set_chain2|draw_chain6
Combined,Set1,Draw2,3,249,straight,27.5,"R2,R6,R8",True,True,True,False,False,False,False,False,False,1,1,0,4,924,3,31.0,True,6,4,0,0.0,9,0,0,1,1,0.0,0,0.5,2,2,2,2,3,0,False,straight|cov3|hp_repeat4|vstr2|vstr3|mirror|hot1|hidden3v|vtrac_straight|set_chain2|draw_chain3
Combined,Set1,Draw2,2,2455,boxed,27.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,4,5524,2,12.0,True,8,4,2,0.0,3,0,0,2,0,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|perm3|hidden3v|set_chain2|draw_chain6
Combined,Set1,Draw2,1,455,boxed,27.5,"R4,R8",False,False,False,False,False,False,False,False,False,2,2,0,6,554,1,5.0,True,4,6,1,0.0,1,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov2|hp_repeat6|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Combined,Set1,Draw3,5,244,straight,27.5,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,1,0,1,244,3,31.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,0,4,2,3,3,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|set_chain3|draw_chain3
Combined,Set1,Draw3,1,455,straight,27.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,5,455,1,5.0,True,2,5,0,0.0,3,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov1|hp_repeat5|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Combined,Set1,Draw4,3,559,straight,27.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,0,1,0,2,559,3,5.0,True,6,2,0,0.0,9,0,0,0,0,0.0,0,0.5,2,2,5,2,6,1,True,straight|cov3|hp_repeat2|vstr2|vstr3|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6
Combined,Set1,Draw4,2,224,straight,27.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,224,3,28.0,True,6,4,0,0.0,9,0,0,2,0,0.0,0,0.5,2,0,3,1,4,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4
