Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,438,718,800,257,799,579,902
Set3,Draw1,R2,55922401386,559224036,55922436,592436*,52436*,2436*,436*
Set3,Draw1,R4,22559068341,225590634,22559634,259634*,25634*,2634*,634*
Set3,Draw1,R6,68105593224,605593224,65593224,659324*,65324*,6324*,634*
Set3,Draw1,R8,01983622455,093622455,93622455,936245*,36245*,3624*,364*
Set2,Draw1,draw_data,718,800,257,799,579,902,707
Set2,Draw1,R2,55922400367,559224367,592436,52436*,2436*,436*,436*
Set2,Draw1,R4,22559006347,225596347,259634,25634*,2634*,634*,634*
Set2,Draw1,R6,67005593224,675593224,659324,65324*,6324*,634*,634*
Set2,Draw1,R8,70093622455,793622455,936245,36245*,3624*,364*,364*
Set1,Draw1,draw_data,800,257,799,579,902,707,261
Set1,Draw1,R2,559922413667,599241366,5241366*,241366*,41366**,41366**,436**
Set1,Draw1,R4,225599663471,259966341,2566341*,266341*,66341**,66341**,634**
Set1,Draw1,R6,661755993224,661599324,6615324*,661324*,66134**,66134**,634**
Set1,Draw1,R8,719936622455,199366245,1366245*,136624*,13664**,13664**,364**
Set1,Draw2,draw_data,N/A,257,799,579,902,707,261
Set1,Draw2,R2,N/A,59924413366,524413366,24413366*,4413366*,4413366**,44336**
Set1,Draw2,R4,N/A,25996633441,256633441,26633441*,6633441*,6633441**,63344**
Set1,Draw2,R6,N/A,66159933244,661533244,66133244*,6613344*,6613344**,63344**
Set1,Draw2,R8,N/A,19933662445,133662445,13366244*,1336644*,1336644**,33644**
Set1,Draw3,draw_data,N/A,N/A,799,579,902,707,261
Set1,Draw3,R2,N/A,N/A,52441133866,2441133866,441133866*,441133866**,4413386**
Set1,Draw3,R4,N/A,N/A,25668334411,2668334411,668334411*,668334411**,6833441**
Set1,Draw3,R6,N/A,N/A,66811533244,6681133244,668113344*,668113344**,6813344**
Set1,Draw3,R8,N/A,N/A,11833662445,1183366244,118336644*,118336644**,1833644**
Set1,Draw4,draw_data,N/A,N/A,N/A,579,902,707,261
Set1,Draw4,R2,N/A,N/A,N/A,2440011338866,44011338866,4411338866**,44133886**
Set1,Draw4,R4,N/A,N/A,N/A,2006688334411,06688334411,6688334411**,68833441**
Set1,Draw4,R6,N/A,N/A,N/A,6688110033244,66881103344,6688113344**,68813344**
Set1,Draw4,R8,N/A,N/A,N/A,0011883366244,01188336644,1188336644**,18833644**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,902,707,261
Set1,Draw5,R2,N/A,N/A,N/A,N/A,5244011338866,524411338866**,544133886**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,2506688334411,256688334411**,568833441**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,6688110533244,668811533244**,688153344**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,0118833662445,118833662445**,188336445**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,707,261
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,524411338866,544133886*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,256688334411,568833441*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668811533244,688153344*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,118833662445,188336445*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,261
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,55944133886
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,55968833441
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68815593344
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,19883364455
