section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Midday,Set1,Draw1,1,003,straight,41.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1,0,5,003,4,4.0,False,8,5,0,0.0,9,0,4,4,0,4.5,0,0.0,2,0,4,1,5,1,True,straight|cov4|hp_repeat5|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|double_mirror|vtrac_straight|draw_chain5
Combined,Set1,Draw2,1,033,straight,38.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1,0,4,033,4,13.0,False,8,4,0,0.0,9,0,4,4,0,4.5,0,0.0,2,0,2,1,3,1,True,straight|cov4|hp_repeat4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|double_mirror|vtrac_straight|draw_chain3
Midday,Set2,Draw1,1,009,straight,37.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1,0,2,009,4,5.0,True,8,2,0,0.0,9,0,4,2,0,4.5,0,0.5,2,4,0,3,1,1,True,straight|cov4|hp_repeat2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v|hidden3v|double_mirror|vtrac_straight|set_chain3
Midday,Set1,Draw2,1,039,straight,36.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1,0,2,093,4,14.0,False,8,2,0,0.0,9,0,4,4,0,3.5,0,0.0,2,2,2,2,3,0,False,straight|cov4|hp_repeat2|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|vtrac_straight|set_chain2|draw_chain3
Combined,Set2,Draw1,1,008,straight,34.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1,0,2,008,4,4.0,False,8,2,0,0.0,9,0,4,2,0,4.5,0,0.0,2,2,0,2,1,1,True,straight|cov4|hp_repeat2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v|double_mirror|vtrac_straight|set_chain2
Combined,Set1,Draw1,2,008,straight,34.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1,0,2,008,4,4.0,False,8,2,0,0.0,9,0,4,2,0,4.5,0,0.0,2,2,0,2,1,1,True,straight|cov4|hp_repeat2|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v|double_mirror|vtrac_straight|set_chain2
Combined,Set1,Draw3,1,335,boxed,32.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,3,533,3,13.0,False,8,3,1,0.0,7,0,0,4,0,4.0,0,0.0,0,0,4,1,5,1,True,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|dom_last|perm2|double_mirror|draw_chain5
Evening,Set3,Draw1,1,059,boxed,30.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,1,3,0,7,590,2,5.0,True,8,7,2,0.0,3,0,0,2,1,3.0,0,0.5,0,4,0,3,1,0,False,boxed|cov4|hp_repeat7|vstr2|mirror|hot1|dom_last|perm3|hidden3v|set_chain3
Combined,Set1,Draw2,2,338,boxed,29.0,"R2,R4,R6,R8",True,True,True,False,False,False,False,False,False,2,2,0,5,833,3,32.0,False,8,5,1,0.0,7,0,0,2,1,0.0,0,0.0,0,0,4,1,5,1,True,boxed|cov4|hp_repeat5|vstr2|vstr3|mirror|hot2|perm2|double_mirror|draw_chain5
Evening,Set1,Draw1,3,599,straight,29.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,5,599,3,15.0,False,6,5,0,0.0,9,0,0,2,0,0.0,0,0.0,2,0,4,1,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw1,1,005,boxed,29.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,2,0,1,050,2,1.0,False,8,1,1,0.0,3,0,0,4,1,4.0,0,0.0,0,4,2,3,3,1,True,boxed|cov4|vstr2|mirror|hot2|dom_last|perm2|double_mirror|set_chain3|draw_chain3
Evening,Set1,Draw2,1,005,boxed,29.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,2,0,1,050,2,1.0,False,8,1,1,0.0,3,0,0,4,1,4.0,0,0.0,0,4,2,3,3,1,True,boxed|cov4|vstr2|mirror|hot2|dom_last|perm2|double_mirror|set_chain3|draw_chain3
Evening,Set1,Draw3,1,005,boxed,29.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,2,0,1,050,2,1.0,False,8,1,1,0.0,3,0,0,4,1,4.0,0,0.0,0,4,2,3,3,1,True,boxed|cov4|vstr2|mirror|hot2|dom_last|perm2|double_mirror|set_chain3|draw_chain3
Midday,Set1,Draw1,3,009,boxed,28.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,5,900,2,5.0,True,8,5,1,0.0,3,0,0,2,0,0.0,0,0.5,0,4,4,3,5,1,True,boxed|cov4|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain5
Midday,Set1,Draw7,1,559,straight,28.5,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1,0,1,559,3,5.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,2,4,1,3,2,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2
Evening,Set3,Draw1,3,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,5,559,3,5.0,True,6,5,0,0.0,9,0,0,1,0,0.0,0,0.5,2,4,0,3,1,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3
Combined,Set1,Draw4,1,334,boxed,28.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,4,334,3,33.0,False,8,4,1,0.0,7,0,0,4,0,0.0,0,0.0,0,0,3,1,4,1,True,boxed|cov4|hp_repeat4|vstr2|vstr3|hot2|perm2|double_mirror|draw_chain4
Combined,Set1,Draw5,1,334,straight,28.0,"R4,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,3,334,3,33.0,False,6,3,0,0.0,9,0,0,4,0,0.0,0,0.0,2,0,3,1,4,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|double_mirror|vtrac_straight|draw_chain4
Combined,Set1,Draw6,1,244,straight,28.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,1,1,0,2,244,3,31.0,True,6,2,0,0.0,9,0,0,2,0,4.5,0,0.5,2,0,1,1,2,1,True,straight|cov3|hp_repeat2|vstr2|vstr3|hot1|dom_last|hidden3v|double_mirror|vtrac_straight|draw_chain2
Midday,Set3,Draw1,4,011,boxed,28.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,6,011,3,6.0,False,8,6,1,0.0,7,0,0,1,0,0.0,0,0.0,0,4,0,3,1,1,True,boxed|cov4|hp_repeat6|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3
