section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Evening,Set1,Draw1,7,077,straight,19.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,4,770,2,10,False,4,4,0,0.0,5,0,0,0,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|hp_repeat4|vstr2|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
Evening,Set1,Draw1,6,077,straight,19.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,4,770,2,10,False,4,4,0,0.0,5,0,0,0,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|hp_repeat4|vstr2|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
Evening,Set1,Draw2,4,077,straight,19.0,"R6,R8",False,True,False,False,False,False,False,False,False,1,1,0,3,770,2,10,False,4,3,0,0.0,5,0,0,1,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|hp_repeat3|vstr2|hot1|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
Combined,Set1,Draw4,1,246,straight,18.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,4,624,1,22,True,2,4,0,0.0,3,0,0,4,0,0.0,0,0.5,2,0,3,1,4,0,False,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain4,246,147,174,702,False,False,True
Combined,Set1,Draw4,1,2446,straight,18.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,4,6244,1,22,True,2,4,0,0.0,3,0,0,4,0,0.0,1,0.5,2,0,2,1,3,0,False,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain3,2446,147,174,702,False,False,True
Evening,Set1,Draw4,1,22469,boxed,18.5,"R2,R4,R8",True,False,False,False,False,False,False,False,False,2,3,0,1,92246,1,22,True,6,1,2,0.0,1,0,0,4,1,0.0,2,0.5,0,0,1,1,2,0,False,boxed|cov3|mirror|hot2|perm3|hidden3v|draw_chain2,22469,147,174,702,False,False,True
Evening,Set1,Draw5,2,2246,straight,18.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,3,6224,1,22,True,2,3,0,0.0,3,0,0,2,0,0.0,1,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw2,6,077,straight,18.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,3,770,2,10,False,4,3,0,0.0,5,0,0,0,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|hp_repeat3|vstr2|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
Evening,Set1,Draw2,5,077,straight,18.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,3,770,2,10,False,4,3,0,0.0,5,0,0,0,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|hp_repeat3|vstr2|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
Combined,Set2,Draw1,6,2255,boxed,17.5,"R2,R4,R8",False,True,False,False,False,False,False,False,False,0,2,0,4,2255,2,10,True,6,4,1,0.0,3,0,0,0,0,0.0,1,0.5,0,2,0,2,1,0,False,boxed|cov3|hp_repeat4|vstr2|perm2|hidden3v|set_chain2,2255,027,174,702,False,False,True
Combined,Set2,Draw1,6,225,boxed,17.5,"R2,R4,R8",False,True,False,False,False,False,False,False,False,0,2,0,4,225,2,10,True,6,4,1,0.0,3,0,0,0,0,0.0,0,0.5,0,2,0,2,1,1,True,boxed|cov3|hp_repeat4|vstr2|perm2|hidden3v|double_mirror|set_chain2,225,027,174,702,False,False,True
Combined,Set2,Draw1,5,2255,boxed,17.5,"R2,R4,R8",False,True,False,False,False,False,False,False,False,0,2,0,4,2255,2,10,True,6,4,1,0.0,3,0,0,0,0,0.0,1,0.5,0,2,0,2,1,0,False,boxed|cov3|hp_repeat4|vstr2|perm2|hidden3v|set_chain2,2255,027,174,702,False,False,True
Combined,Set2,Draw1,5,225,boxed,17.5,"R2,R4,R8",False,True,False,False,False,False,False,False,False,0,2,0,4,225,2,10,True,6,4,1,0.0,3,0,0,0,0,0.0,0,0.5,0,2,0,2,1,1,True,boxed|cov3|hp_repeat4|vstr2|perm2|hidden3v|double_mirror|set_chain2,225,027,174,702,False,False,True
Combined,Set1,Draw5,1,246,straight,17.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,3,624,1,22,True,2,3,0,0.0,3,0,0,4,0,0.0,0,0.5,2,0,3,1,4,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain4,246,147,174,702,False,False,True
Combined,Set1,Draw5,1,2446,straight,17.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,3,6244,1,22,True,2,3,0,0.0,3,0,0,4,0,0.0,1,0.5,2,0,2,1,3,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain3,2446,147,174,702,False,False,True
Combined,Set1,Draw6,1,1477,straight,17.5,R4,False,False,False,False,False,False,False,False,False,1,1,0,2,4771,1,22,True,2,2,0,0.0,3,0,0,2,0,0.0,1,0.5,2,4,1,3,2,0,False,straight|cov1|hp_repeat2|hot1|hidden3v|vtrac_straight|set_chain3|draw_chain2,1477,147,174,702,False,False,True
Combined,Set1,Draw6,2,077,straight,17.5,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,2,770,2,10,True,4,2,0,0.0,5,0,0,0,0,0.0,0,0.5,2,2,1,2,2,1,True,straight|cov2|hp_repeat2|vstr2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain2,077,027,174,702,False,False,True
Midday,Set1,Draw5,2,246,straight,17.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,1,624,1,22,True,2,1,0,0.0,3,0,0,2,0,0.0,0,0.5,2,4,3,3,4,0,False,straight|cov1|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain4,246,147,174,702,False,False,True
Evening,Set1,Draw4,3,2246,straight,17.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,4,6224,1,22,True,2,4,0,0.0,3,0,0,0,0,0.0,1,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat4|hidden3v|vtrac_straight|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw6,1,2246,straight,17.5,R8,False,False,False,False,False,False,False,False,False,1,1,0,2,6224,1,22,True,2,2,0,0.0,3,0,0,2,0,0.0,1,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat2|hot1|hidden3v|vtrac_straight|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw3,5,077,straight,17.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,2,770,2,10,False,4,2,0,0.0,5,0,0,0,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|hp_repeat2|vstr2|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
Evening,Set1,Draw3,4,077,straight,17.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,2,770,2,10,False,4,2,0,0.0,5,0,0,0,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|hp_repeat2|vstr2|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
Combined,Set1,Draw4,2,246,straight,16.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,4,624,1,22,True,2,4,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,3,1,4,0,False,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain4,246,147,174,702,False,False,True
Combined,Set1,Draw4,2,2446,straight,16.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,4,6244,1,22,True,2,4,0,0.0,3,0,0,2,0,0.0,1,0.5,2,0,2,1,3,0,False,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain3,2446,147,174,702,False,False,True
Combined,Set1,Draw7,1,077,straight,16.5,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,1,770,2,10,True,4,1,0,0.0,5,0,0,0,0,0.0,0,0.5,2,2,1,2,2,1,True,straight|cov2|vstr2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain2,077,027,174,702,False,False,True
Midday,Set1,Draw4,3,246,straight,16.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,2,624,1,22,True,2,2,0,0.0,3,0,0,0,0,0.0,0,0.5,2,4,3,3,4,0,False,straight|cov1|hp_repeat2|hidden3v|vtrac_straight|set_chain3|draw_chain4,246,147,174,702,False,False,True
Evening,Set1,Draw3,5,2246,straight,16.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,5,6224,1,22,True,2,5,0,0.0,3,0,0,0,0,0.0,1,0.5,0,0,5,1,6,0,False,straight|cov1|hp_repeat5|hidden3v|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw3,4,2246,straight,16.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,5,6224,1,22,True,2,5,0,0.0,3,0,0,0,0,0.0,1,0.5,0,0,5,1,6,0,False,straight|cov1|hp_repeat5|hidden3v|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw4,1,22467,straight,16.5,R2,True,False,False,False,False,False,False,False,False,2,1,0,1,22467,1,22,True,2,1,0,0.0,3,0,0,4,1,0.0,2,0.5,2,0,1,1,2,0,False,straight|cov1|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,22467,147,174,702,False,False,True
Evening,Set1,Draw5,3,2246,straight,16.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,3,6224,1,22,True,2,3,0,0.0,3,0,0,0,0,0.0,1,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat3|hidden3v|vtrac_straight|draw_chain6,2246,147,174,702,False,False,True
Evening,Set1,Draw5,1,22469,straight,16.5,R8,True,False,False,False,False,False,False,False,False,2,1,0,1,96224,1,22,True,2,1,0,0.0,3,0,0,4,1,0.0,2,0.5,2,0,1,1,2,0,False,straight|cov1|mirror|hot2|hidden3v|vtrac_straight|draw_chain2,22469,147,174,702,False,False,True
Evening,Set1,Draw4,4,077,straight,16.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,1,0,1,770,2,10,False,4,1,0,0.0,5,0,0,0,0,0.0,0,0.0,0,2,3,2,4,1,True,straight|cov2|vstr2|double_mirror|set_chain2|draw_chain4,077,027,174,702,False,False,True
Combined,Set1,Draw5,1,1447,straight,15.5,R4,False,False,False,False,False,False,False,False,False,2,1,0,3,4471,1,22,True,2,3,0,0.0,3,0,0,4,0,0.0,1,0.5,2,0,0,1,1,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight,1447,147,174,702,False,False,True
