area,section,set,draw,col,method,mode,dr_win_exact,dr_win_vtrac,dr_win_drop_exact,dr_win_drop_vtrac,dr_win_family_exact,dr_win_family_vtrac,dr_win_step_exact,dr_win_step_vtrac,dr_win_step_drop_exact,dr_win_step_drop_vtrac,dr_win_step_family_exact,dr_win_step_family_vtrac,dr_win_final_value,dr_win_drop_digit,dr_win_vtrac_local_index,dr_win_vt_boxed,dr_win_vt_straight
LS1,Midday,Set2,Draw1,7,A,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,,,-1,1,0
LS1,Midday,Set2,Draw1,6,A,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,,,-1,1,0
LS1,Midday,Set2,Draw1,5,A,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,,,-1,1,0
LS1,Midday,Set2,Draw1,4,A,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,511*,,6,0,0
LS1,Midday,Set2,Draw1,4,A,combined,0,1,0,1,0,1,-1,2,-1,0,-1,2,*,,-1,1,0
LS1,Midday,Set2,Draw1,4,B,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,B,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,C,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,C,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,D,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,D,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,E,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,E,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,T,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set2,Draw1,4,T,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,7,A,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw1,6,A,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw1,5,A,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,511*,,6,0,0
LS1,Midday,Set1,Draw1,5,A,combined,0,1,0,1,0,1,-1,2,-1,0,-1,2,*,,-1,1,0
LS1,Midday,Set1,Draw1,5,B,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,B,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,C,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,C,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,D,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,D,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,E,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,E,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,T,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw1,5,T,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw2,6,A,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw2,5,A,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,511,,6,0,0
LS1,Midday,Set1,Draw2,5,A,combined,0,1,0,1,0,1,-1,2,-1,0,-1,2,,,-1,1,0
LS1,Midday,Set1,Draw2,5,B,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw2,5,B,combined,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw2,5,C,own,0,0,0,1,0,0,-1,-1,-1,0,-1,-1,,,-1,0,0
