Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,190,862,192,134,680,610,520
Set3,Draw1,R2,55924018866,55940186,554086,55086*,055*,055*,005*
Set3,Draw1,R4,25590668841,55906841,550684,55068*,055*,055*,005*
Set3,Draw1,R6,66881055924,68105594,680554,68055*,055*,055*,005*
Set3,Draw1,R8,01988662455,01986455,086455,08655*,055*,055*,005*
Set2,Draw1,draw_data,862,192,134,680,610,520,308
Set2,Draw1,R2,55944013867,554403867,5540867,5547*,5547*,547*,547*
Set2,Draw1,R4,55906834471,550683447,5506847,5547*,5547*,547*,547*
Set2,Draw1,R6,68170559344,687055344,6870554,7554*,7554*,754*,754*
Set2,Draw1,R8,70198364455,708364455,7086455,7455*,7455*,745*,745*
Set1,Draw1,draw_data,192,134,680,610,520,308,602
Set1,Draw1,R2,55440338677,554038677,554377*,554377*,54377**,5477**,5477**
Set1,Draw1,R4,55068334477,550683477,553477*,553477*,53477**,5477**,5477**
Set1,Draw1,R6,68770553344,687705534,775534*,775534*,77534**,7754**,7754**
Set1,Draw1,R8,77083364455,770836455,773455*,773455*,77345**,7745**,7745**
Set1,Draw2,draw_data,N/A,134,680,610,520,308,602
Set1,Draw2,R2,N/A,55940038677,55940377,5594377*,594377*,59477**,59477**
Set1,Draw2,R4,N/A,55900683477,55903477,5593477*,593477*,59477**,59477**
Set1,Draw2,R6,N/A,68770055934,77055934,7755934*,775934*,77594**,77594**
Set1,Draw2,R8,N/A,77009836455,77093455,7793455*,779345*,77945**,77945**
Set1,Draw3,draw_data,N/A,N/A,680,610,520,308,602
Set1,Draw3,R2,N/A,N/A,55924038677,559243877,5943877*,59477**,59477**
Set1,Draw3,R4,N/A,N/A,25590683477,255983477,5983477*,59477**,59477**
Set1,Draw3,R6,N/A,N/A,68770559324,877559324,8775934*,77594**,77594**
Set1,Draw3,R8,N/A,N/A,77098362455,779832455,7798345*,77945**,77945**
Set1,Draw4,draw_data,N/A,N/A,N/A,610,520,308,602
Set1,Draw4,R2,N/A,N/A,N/A,55992243877,599243877,5992477**,599477**
Set1,Draw4,R4,N/A,N/A,N/A,22559983477,259983477,2599477**,599477**
Set1,Draw4,R6,N/A,N/A,N/A,87755993224,877599324,7759924**,775994**
Set1,Draw4,R8,N/A,N/A,N/A,77998322455,779983245,7799245**,779945**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,520,308,602
Set1,Draw5,R2,N/A,N/A,N/A,N/A,599244133877,5992441377**,599441377**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,259983344771,2599344771**,599344771**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,817759933244,1775993244**,177599344**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,771998332445,7719932445**,771993445**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,308,602
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,599244138677,5994413877*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,259968344771,5998344771*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,681775993244,8177599344*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,771998362445,7719983445*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,602
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,599441138677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,599683447711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,681177599344
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,771199836445
