section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Evening,Set1,Draw3,5,11,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,3,1,3,0,0,0,0,0055778:1;005778:1;0778:1,8770055:1;877005:1;8770:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,2,1,0,0.0,6.0,26.0,2,False,False,802,602,True,True,False
Combined,Set2,Draw1,6,11,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,023:1,203:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0.0,5.0,26.0,1,True,False,802,602,True,True,False
Combined,Set2,Draw1,5,11,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,023:1,203:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0.0,5.0,26.0,1,True,False,802,602,True,True,False
Midday,Set1,Draw4,4,7,1,1,0.0,2,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,025566:1;02556:1,255066:1;25506:1,2,2,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,5.0,27.5,2,False,False,802,602,True,True,False
Evening,Set1,Draw7,1,7,1,1,0.0,1,0.0,False,False,False,False,False,True,False,1,2,1,2,0,0,0,0,1577:1,1775:1,2,1,0,0.0,0,0,0,0,0,1,0.0,0,1,0,0,0.0,5.0,27.5,1,False,False,802,602,True,True,False
Evening,Set1,Draw2,2,11,1,1,0.0,1,1.0,False,False,False,False,False,True,False,1,1,1,1,0,0,2,0,3577:1;357:1,7753:1;753:1,2,1,0,0.0,0,1,0,0,0,1,0.0,0,0,0,0,0.0,5.0,26.0,1,False,False,802,602,True,True,False
Evening,Set1,Draw2,4,11,1,1,0.0,2,1.0,False,False,False,False,False,False,False,1,1,1,1,0,2,0,0,35577:1;3557:1,77553:1;7553:1,2,2,0,0.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,5.0,26.0,1,False,False,802,602,True,True,False
Midday,Set2,Draw1,7,7,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,11577:1;1577:1,11775:1;1775:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,1,1,0.0,5.0,27.5,2,True,False,802,602,True,True,False
Combined,Set1,Draw3,5,7,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,1557:1;157:1,1755:1;175:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,4.0,27.5,2,False,False,802,602,True,True,False
Evening,Set1,Draw3,4,11,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,0377:1;037:1,0377:1;037:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,4.0,26.0,2,False,False,802,602,True,True,False
Midday,Set1,Draw3,4,7,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,056677:1;05677:1;06677:1,667705:1;67705:1;66770:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,3.0,27.5,1,False,False,802,602,True,True,False
