results_date,state_key,variant,top_event,priority,watchlist_tags,candidate_alert_ids,promoter_alert_ids,a11_star_level_max,a11_star_score_max,a12_pack_sizes,min_implied_set_size,min_cap_lines,strength_max,decay_min,decay_max,merged_rows_total,merged_hits,merged_any_hit_within_decay,merged_hit_types,merged_any_hit_types
2025-06-23,Pennsylvania4,Combined,ENGINE_GOV,85,ENGINE_GOV,"A01,A11",A08,2,36.150,,3,0,5,2,3,2,0,N,,
2025-06-23,SouthCarolina4,Combined,ENGINE_GOV,85,ENGINE_GOV,"A01,A10,A11",,2,35.650,,3,3,5,2,3,3,0,N,,
2025-06-23,PuertoRico4,Combined,ENGINE_GOV,85,ENGINE_GOV,"A01,A04,A11",,2,36.450,,6,12,5,2,3,1,0,N,,
2025-06-23,Ohio4,Combined,STRAIGHT_GATE,80,STRAIGHT_GATE|CLAMP_4|CLAMP_ANY,"A02,A11,A12",,2,35.250,4,3,5,5,2,2,2,0,N,,
2025-06-23,Connecticut4,Evening,CARRY_PERM,70,CARRY_PERM|CLAMP_4|CLAMP_ANY,"A04,A05,A12",A08,0,0.000,4,3,0,4,2,3,3,0,N,,
2025-06-23,Delaware4,Midday,CARRY_PERM,70,CARRY_PERM,"A02,A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2025-06-23,Florida4,Evening,CARRY_PERM,70,CARRY_PERM,"A04,A05",A08,0,0.000,,3,0,4,2,3,2,0,N,,
2025-06-23,NorthCarolina4,Midday,CARRY_PERM,70,CARRY_PERM,"A01,A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2025-06-23,Ohio4,Midday,CARRY_PERM,70,CARRY_PERM,"A01,A04,A05",,0,0.000,,3,3,4,2,3,3,0,N,,
2025-06-23,Pennsylvania4,Evening,CARRY_PERM,70,CARRY_PERM,"A01,A04,A05",A08,0,0.000,,3,0,4,2,3,3,0,N,,
2025-06-23,Indiana4,Evening,CARRY_PERM,70,CARRY_PERM,"A01,A04,A05",,0,0.000,,6,8,4,2,3,2,0,N,,
2025-06-23,Connecticut4,Combined,DBL_BA,45,DBL_BA,"A02,A11",A08,2,35.250,,3,0,5,2,2,1,0,N,,
2025-06-23,Pennsylvania4,Midday,DBL_BA,45,DBL_BA,A02,A08,0,0.000,,3,0,3,2,2,1,0,N,,
2025-06-23,Virginia4,Evening,DBL_BA,45,DBL_BA|CLAMP_4|CLAMP_ANY,"A02,A05,A12",A08,0,0.000,4,3,0,4,2,2,3,0,N,,
2025-06-23,NorthCarolina4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A10,A12",,0,0.000,4,3,3,4,2,3,2,0,N,,
2025-06-23,Delaware4,Evening,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,A08,0,0.000,4,4,0,3,2,2,1,0,N,,
