Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,433,456,754,112,412,270,899
Set3,Draw1,R2,992401886677,9920188677,992018867,9908867*,9908867*,99886*,086*
Set3,Draw1,R4,299066884771,2990688771,299068871,9906887*,9906887*,99688*,068*
Set3,Draw1,R6,668817709924,6881770992,688170992,6887099*,6887099*,68899*,068*
Set3,Draw1,R8,770199886624,7701998862,701998862,7099886*,7099886*,99886*,086*
Set2,Draw1,draw_data,456,754,112,412,270,899,069
Set2,Draw1,R2,992001188677,99200118867,99008867,99008867*,990886*,086*,008*
Set2,Draw1,R4,299006887711,29900688711,99006887,99006887*,990688*,068*,008*
Set2,Draw1,R6,688117700992,68811700992,68870099,68870099*,688099*,680*,008*
Set2,Draw1,R8,770011998862,70011998862,70099886,70099886*,099886*,086*,008*
Set1,Draw1,draw_data,754,112,412,270,899,069,868
Set1,Draw1,R2,992200118867,992008867,99008867*,990886*,086**,008**,nan**
Set1,Draw1,R4,229900688711,299006887,99006887*,990688*,068**,008**,nan**
Set1,Draw1,R6,688117009922,688700992,68870099*,688099*,680**,008**,nan**
Set1,Draw1,R8,700119988622,700998862,70099886*,099886*,086**,008**,nan**
Set1,Draw2,draw_data,N/A,112,412,270,899,069,868
Set1,Draw2,R2,N/A,99200338867,9900338867,99033886*,03386*,338**,033**
Set1,Draw2,R4,N/A,29900688337,9900688337,99068833*,06833*,833**,033**
Set1,Draw2,R6,N/A,68870099332,6887009933,68809933*,68033*,833**,033**
Set1,Draw2,R8,N/A,70099883362,7009988336,09988336*,08336*,833**,033**
Set1,Draw3,draw_data,N/A,N/A,412,270,899,069,868
Set1,Draw3,R2,N/A,N/A,599003388667,5990338866,5033866*,53386**,533**
Set1,Draw3,R4,N/A,N/A,599006688337,5990668833,5066833*,56833**,533**
Set1,Draw3,R6,N/A,N/A,668870059933,6688059933,6680533*,68533**,533**
Set1,Draw3,R8,N/A,N/A,700998833665,0998833665,0833665*,83365**,335**
Set1,Draw4,draw_data,N/A,N/A,N/A,270,899,069,868
Set1,Draw4,R2,N/A,N/A,N/A,5599403388667,5540338667,55433867**,554337**
Set1,Draw4,R4,N/A,N/A,N/A,5599066883347,5506683347,55683347**,553347**
Set1,Draw4,R6,N/A,N/A,N/A,6688705599334,6687055334,68755334**,755334**
Set1,Draw4,R8,N/A,N/A,N/A,7099883366455,7083366455,78336455**,733455**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,899,069,868
Set1,Draw5,R2,N/A,N/A,N/A,N/A,55401338667,554133867**,5541337**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,55066833471,556833471**,5533471**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,66817055334,681755334**,1755334**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,70183366455,718336455**,7133455**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,069,868
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,552441133867,5524411337*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,255683344711,2553344711*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,681175533244,1175533244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,711833624455,7113324455*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,868
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,5522440113377
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2255033447711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,1177055332244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,7701133224455
