area,area_rank,box_family_density,box_id,box_pair_agree,cluster_echo_count,col,col_path_min,col_path_span,col_proximity_score,col_rank,cols_hit,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vt_boxed,dr.win_vt_straight,dr.win_vtrac,dr.win_vtrac_local_index,draw,draw_rank,drop_digit,drop_digit_mode,drop_digit_mode_stability,drop_run_len,dup_bonus,dup_bonus_raw,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_exact_step,earliest_family_exact_step,earliest_family_vtrac_step,earliest_vtrac_step,family_id,family_unique,features_json,final_drop_exact_match,final_drop_vtrac_match,final_exact_match,final_family_exact_match,final_family_vtrac_match,final_linear,final_prob,final_value,final_vtrac_match,funnel_precol1,is_extended_cluster,lock_decision,lock_reason,lockscore_decision,lockscore_prob,lockscore_v2,ls2_lane,ls2_progress,ls_col_42,method,method_consensus,mode,pattern,persistence_drop_exact,persistence_drop_vtrac,persistence_exact,persistence_exact_score,persistence_family_exact,persistence_family_vtrac,persistence_vtrac,persistence_vtrac_score,recency_carryover,residual_purity,score,score_raw,score_v2,section,section_rank,set,set1_terminal,set_echo_count,set_min_rank,set_progress,set_proximity_score,set_rank,state,variant,variant_echo_count,variants_hit,vt_only_lane,vtrac.hot_source,vtrac.set,vtrac.v_hot,vtrac_key
LS1,1,0.5,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,77,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""2"", 2, 3], [""8"", 1, 3], [""7"", 2, 3], [""5"", 2, 4], [""7"", 2, 4]], ""family_mass"": [0.3076923076923077, 0.2, 0.2857142857142857, 0.5, 0.0], ""family_runs"": [2, 2, 2, 2]}",0,0,0,0,0,0.455,0.551071269307342,77,0,0,False,,score>=lock,lock,1.0,2.59989,0,0.0,0,A,6,own,559,1,1,1,1.0,1,1,1,1.0,0,1,0.974889955210435,8.73,9.087143,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.3076923076923077,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""2"", 2, 3], [""0"", 2, 3], [""1"", 1, 3], [""7"", 2, 3], [""2"", 2, 4], [""7"", 2, 4], [""2"", 2, 5], [""7"", 2, 5]], ""family_mass"": [0.3076923076923077, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0], ""family_runs"": [2, 2]}",0,0,0,0,0,0.345385,0.5238280904746416,,0,0,False,,score>=lock,lock,1.0,2.554433,0,0.0,0,A,6,combined,559,1,1,1,1.0,1,1,1,1.0,0,0,0.977510344027364,8.953076923076923,9.31022,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.5,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 5, 5, 6, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""2"", 2, 3], [""7"", 2, 3], [""5"", 2, 4], [""7"", 2, 4]], ""family_mass"": [0.3076923076923077, 0.2, 0.3333333333333333, 0.5, 0.0, 0.0], ""family_runs"": [2, 2, 2, 2]}",0,0,0,0,0,0.455,0.551071269307342,,0,0,False,,score>=lock,lock,1.0,2.60335,0,0.0,0,B,6,own,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9783497218413907,9.03,9.387143,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.3076923076923077,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""2"", 2, 3], [""0"", 2, 3], [""1"", 1, 3], [""7"", 2, 3], [""2"", 2, 4], [""7"", 2, 4], [""2"", 2, 5], [""7"", 2, 5]], ""family_mass"": [0.3076923076923077, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0], ""family_runs"": [2, 2]}",0,0,0,0,0,0.345385,0.5238280904746416,,0,0,False,,score>=lock,lock,1.0,2.554433,0,0.0,0,B,6,combined,559,1,1,1,1.0,1,1,1,1.0,0,0,0.977510344027364,8.953076923076923,9.31022,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.3076923076923077,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""2"", 2, 3], [""7"", 2, 3]], ""family_mass"": [0.3076923076923077, 0.2, 0.0], ""family_runs"": [2, 2]}",0,0,0,0,0,0.445385,0.5486913523472503,,0,0,False,,score>=lock,lock,1.0,2.554433,0,0.0,0,C,6,own,559,1,1,1,1.0,1,1,1,1.0,0,0,0.977510344027364,8.953076923076923,9.31022,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.3076923076923077,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 4, 4, 5, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""2"", 2, 3], [""1"", 1, 3], [""7"", 2, 3], [""2"", 2, 4], [""7"", 2, 4], [""2"", 2, 5], [""7"", 2, 5]], ""family_mass"": [0.3076923076923077, 0.2, 0.0, 0.0, 0.0], ""family_runs"": [2, 2]}",0,0,0,0,0,0.345385,0.5238280904746416,,0,0,False,,score>=lock,lock,1.0,2.554433,0,0.0,0,C,6,combined,559,1,1,1,1.0,1,1,1,1.0,0,0,0.977510344027364,8.953076923076923,9.31022,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.5,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""5"", 1, 3], [""2"", 2, 3], [""7"", 2, 3], [""5"", 1, 4], [""7"", 1, 4]], ""family_mass"": [0.3076923076923077, 0.2, 0.2, 0.5, 0.0, 0.0], ""family_runs"": [2, 2, 1, 1]}",0,0,0,0,0,0.455,0.551071269307342,,0,0,False,,score>=lock,lock,1.0,2.60335,0,0.0,0,D,6,own,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9783497218413907,9.03,9.387143,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.3076923076923077,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""2"", 2, 3], [""0"", 1, 3], [""1"", 1, 3], [""7"", 2, 3], [""2"", 2, 4], [""7"", 2, 4], [""2"", 2, 5], [""7"", 2, 5]], ""family_mass"": [0.3076923076923077, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0], ""family_runs"": [2, 2]}",0,0,0,0,0,0.345385,0.5238280904746416,,0,0,False,,score>=lock,lock,1.0,2.554433,0,0.0,0,D,6,combined,559,1,1,1,1.0,1,1,1,1.0,0,0,0.977510344027364,8.953076923076923,9.31022,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.3333333333333333,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""5"", 2, 3], [""2"", 2, 3], [""0"", 1, 3], [""7"", 2, 3], [""5"", 2, 4], [""2"", 1, 4], [""0"", 1, 4], [""7"", 2, 4], [""5"", 1, 5], [""2"", 1, 5], [""7"", 2, 5], [""5"", 1, 6], [""2"", 1, 6], [""7"", 2, 6]], ""family_mass"": [0.3076923076923077, 0.2, 0.2857142857142857, 0.3333333333333333, 0.25, 0.25, 0.0], ""family_runs"": [2, 2, 2, 2, 1, 1]}",0,0,0,0,0,0.446667,0.5490088057588589,,0,0,False,,score>=lock,lock,1.0,2.560957,0,0.0,0,E,6,own,559,1,1,1,1.0,1,1,1,1.0,0,0,0.9776240933580065,8.963333333333333,9.320476,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
LS1,1,0.3076923076923077,5599224001877,1,12,7,1,6,1.0,7,4,,0,0,0,0,0,,-1,-1,-1,-1,-1,0,Combined,0,0,1,-1,Draw1,1,9,0,2,2,1.0,2,1,1,1,1,1,1,559,59,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 3, 3, 3, 3, 4, 4, 4, 5, 3, 3, 3, 3, 4, 4, 4, 5, 3, 3, 3, 4, 3, 3, 4, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""2"", 2], [""4"", 1], [""0"", 2], [""1"", 1], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 2, 1], [""9"", 2, 1], [""2"", 2, 1], [""4"", 1, 1], [""0"", 2, 1], [""1"", 1, 1], [""8"", 1, 1], [""7"", 2, 1], [""5"", 2, 2], [""2"", 2, 2], [""0"", 2, 2], [""1"", 1, 2], [""8"", 1, 2], [""7"", 2, 2], [""5"", 1, 3], [""2"", 2, 3], [""0"", 2, 3], [""1"", 1, 3], [""7"", 2, 3], [""5"", 1, 4], [""2"", 2, 4], [""0"", 1, 4], [""7"", 2, 4], [""5"", 1, 5], [""2"", 2, 5], [""0"", 1, 5], [""7"", 2, 5], [""5"", 1, 6], [""2"", 1, 6], [""0"", 1, 6], [""7"", 2, 6], [""2"", 1, 7], [""0"", 1, 7], [""7"", 2, 7], [""2"", 1, 8], [""7"", 2, 8], [""2"", 1, 9], [""7"", 2, 9], [""2"", 1, 11], [""7"", 1, 11]], ""family_mass"": [0.3076923076923077, 0.2, 0.125, 0.16666666666666666, 0.16666666666666666, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0], ""family_runs"": [2, 2, 1, 1, 1, 1]}",0,0,0,0,0,0.345385,0.5238280904746416,,0,0,False,,score>=lock,lock,1.0,2.554433,0,0.0,0,E,6,combined,559,1,1,1,1.0,1,1,1,1.0,0,0,0.977510344027364,8.953076923076923,9.31022,Midday,1,Set3,0,3,1,3,1.0,3,Connecticut4,Midday,2,2,0,none,15,0.0,15
