Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,828,316,425,699,605,917,567
Set3,Draw1,R2,59401136677,59401677,901677,0177*,177*,007*,nan*
Set3,Draw1,R4,59066347711,59064771,906771,0771*,771*,007*,nan*
Set3,Draw1,R6,66117705934,61770594,617709,1770*,177*,007*,nan*
Set3,Draw1,R8,77011936645,77019645,770196,7701*,771*,007*,nan*
Set2,Draw1,draw_data,316,425,699,605,917,567,846
Set2,Draw1,R2,59924001677,99001677,00177,0177*,007*,000*,000*
Set2,Draw1,R4,25990064771,99006771,00771,0771*,007*,000*,000*
Set2,Draw1,R6,61770059924,61770099,17700,1770*,070*,000*,000*
Set2,Draw1,R8,77001996245,77001996,77001,7701*,070*,000*,000*
Set1,Draw1,draw_data,425,699,605,917,567,846,226
Set1,Draw1,R2,59940013677,54001377,401377*,4037*,403**,003**,003**
Set1,Draw1,R4,59900634771,50034771,034771*,0347*,034**,003**,003**
Set1,Draw1,R6,61770059934,17700534,177034*,7034*,034**,003**,003**
Set1,Draw1,R8,77001993645,77001345,770134*,7034*,034**,003**,003**
Set1,Draw2,draw_data,N/A,699,605,917,567,846,226
Set1,Draw2,R2,N/A,52400138877,240138877,2403887*,240388*,2038**,038**
Set1,Draw2,R4,N/A,25008834771,208834771,2088347*,208834*,2083**,083**
Set1,Draw2,R6,N/A,88177005324,881770324,8870324*,880324*,8032**,803**
Set1,Draw2,R8,N/A,77001883245,770188324,7088324*,088324*,0832**,083**
Set1,Draw3,draw_data,N/A,N/A,605,917,567,846,226
Set1,Draw3,R2,N/A,N/A,24011338877,240133887,24013388*,201338**,01338**
Set1,Draw3,R4,N/A,N/A,20883347711,208833471,20883341*,208331**,08331**
Set1,Draw3,R6,N/A,N/A,88117703324,881703324,88103324*,810332**,81033**
Set1,Draw3,R8,N/A,N/A,77011883324,701883324,01883324*,018332**,01833**
Set1,Draw4,draw_data,N/A,N/A,N/A,917,567,846,226
Set1,Draw4,R2,N/A,N/A,N/A,522440133887,2244013388,22401338**,401338**
Set1,Draw4,R4,N/A,N/A,N/A,225088334471,2208833441,22083341**,083341**
Set1,Draw4,R6,N/A,N/A,N/A,881705332244,8810332244,81033224**,810334**
Set1,Draw4,R8,N/A,N/A,N/A,701883322445,0188332244,01833224**,018334**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,567,846,226
Set1,Draw5,R2,N/A,N/A,N/A,N/A,92244013388,922401338**,9401338**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,22908833441,229083341**,9083341**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,88109332244,810933224**,8109334**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,01988332244,019833224**,0198334**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,846,226
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59224001338,594001338*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,22590083341,590083341*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,81005933224,810059334*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,00198332245,001983345*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,226
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,599400113387
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,599008334711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,811700599334
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,700119983345
