Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,655,708,913,469,321,681,656
Set3,Draw1,R2,9922440033877,9922440337,92244037,224037*,2407*,2407*,2407*
Set3,Draw1,R4,2299008334477,2299033447,22903447,220347*,2047*,2047*,2047*
Set3,Draw1,R6,8770099332244,7099332244,70932244,703224*,7024*,7024*,7024*
Set3,Draw1,R8,7700998332244,7099332244,70932244,703224*,7024*,7024*,7024*
Set2,Draw1,draw_data,708,913,469,321,681,656,795
Set2,Draw1,R2,99224401337,92244037,224037,2407*,2407*,2407*,240*
Set2,Draw1,R4,22990334471,22903447,220347,2047*,2047*,2047*,204*
Set2,Draw1,R6,17099332244,70932244,703224,7024*,7024*,7024*,024*
Set2,Draw1,R8,70199332244,70932244,703224,7024*,7024*,7024*,024*
Set1,Draw1,draw_data,913,469,321,681,656,795,383
Set1,Draw1,R2,92244013867,22401387,24087*,2407*,2407**,240**,240**
Set1,Draw1,R4,22906834471,22083471,20847*,2047*,2047**,204**,204**
Set1,Draw1,R6,68170932244,81703224,87024*,7024*,7024**,024**,024**
Set1,Draw1,R8,70198362244,70183224,70824*,7024*,7024**,024**,024**
Set1,Draw2,draw_data,N/A,469,321,681,656,795,383
Set1,Draw2,R2,N/A,55224013867,55240867,552407*,52407*,240**,240**
Set1,Draw2,R4,N/A,22550683471,25506847,255047*,25047*,204**,204**
Set1,Draw2,R6,N/A,68170553224,68705524,705524*,70524*,024**,024**
Set1,Draw2,R8,N/A,70183622455,70862455,702455*,70245*,024**,024**
Set1,Draw3,draw_data,N/A,N/A,321,681,656,795,383
Set1,Draw3,R2,N/A,N/A,55240088677,552400877,52400877*,240087**,24007**
Set1,Draw3,R4,N/A,N/A,25500688477,255008477,25008477*,200847**,20047**
Set1,Draw3,R6,N/A,N/A,68877005524,877005524,87700524*,870024**,70024**
Set1,Draw3,R8,N/A,N/A,77008862455,770082455,77008245*,700824**,70024**
Set1,Draw4,draw_data,N/A,N/A,N/A,681,656,795,383
Set1,Draw4,R2,N/A,N/A,N/A,55924003877,5924003877,2400387**,24007**
Set1,Draw4,R4,N/A,N/A,N/A,25590083477,2590083477,2008347**,20047**
Set1,Draw4,R6,N/A,N/A,N/A,87700559324,8770059324,8700324**,70024**
Set1,Draw4,R8,N/A,N/A,N/A,77009832455,7700983245,7008324**,70024**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,656,795,383
Set1,Draw5,R2,N/A,N/A,N/A,N/A,599244003877,924400387**,9244007**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,259900834477,290083447**,2900447**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,877005993244,870093244**,7009244**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770099832445,700983244**,7009244**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,795,383
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,922440013387,922440017*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,229008334471,229004471*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,817009332244,170092244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,700198332244,700192244*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,383
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,92244001187
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,22900844711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,81170092244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70011982244
