section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw1,1,229,boxed,42.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,7,922,3,28.0,True,8,7,1,0.0,7,0,0,4,0,4.0,0,0.5,0,4,6,3,7,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw3,1,2249,straight,38.5,"R2,R6,R8",True,True,True,False,False,False,False,False,False,2,1,0,5,9224,3,28.0,True,6,5,0,0.0,9,0,0,4,1,0.0,1,0.5,2,4,6,3,7,0,False,straight|cov3|hp_repeat5|vstr2|vstr3|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw1,3,229,straight,37.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,7,922,3,28.0,True,6,7,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw2,1,229,boxed,37.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,6,922,3,28.0,True,8,6,1,0.0,7,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov4|hp_repeat6|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw3,1,224,straight,37.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,224,3,28.0,True,6,5,0,0.0,9,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw4,1,2249,straight,37.5,"R2,R6,R8",True,True,True,False,False,False,False,False,False,2,1,0,4,9224,3,28.0,True,6,4,0,0.0,9,0,0,4,1,0.0,1,0.5,2,4,6,3,7,0,False,straight|cov3|hp_repeat4|vstr2|vstr3|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw1,2,229,boxed,36.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,7,922,3,28.0,True,8,7,1,0.0,7,0,0,2,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw3,2,2249,straight,36.5,"R2,R6,R8",True,True,True,False,False,False,False,False,False,2,1,0,5,9224,3,28.0,True,6,5,0,0.0,9,0,0,2,1,0.0,1,0.5,2,4,6,3,7,0,False,straight|cov3|hp_repeat5|vstr2|vstr3|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw3,1,229,boxed,36.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,5,922,3,28.0,True,8,5,1,0.0,7,0,0,4,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov4|hp_repeat5|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw4,1,224,straight,36.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,224,3,28.0,True,6,4,0,0.0,9,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Combined,Set1,Draw1,1,0049,boxed,35.5,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3,0,5,0094,2,5.0,True,8,5,2,0.0,3,0,0,4,1,3.0,1,0.5,0,4,4,3,5,0,False,boxed|cov4|hp_repeat5|vstr2|mirror|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain5
Evening,Set1,Draw2,3,229,straight,35.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,6,922,3,28.0,True,6,6,0,0.0,9,0,0,1,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw2,2,229,boxed,35.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,6,922,3,28.0,True,8,6,1,0.0,7,0,0,2,0,0.0,0,0.5,0,4,6,3,7,1,True,boxed|cov4|hp_repeat6|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw3,3,2249,straight,35.5,"R2,R6,R8",True,True,True,False,False,False,False,False,False,1,1,0,5,9224,3,28.0,True,6,5,0,0.0,9,0,0,1,1,0.0,1,0.5,2,4,6,3,7,0,False,straight|cov3|hp_repeat5|vstr2|vstr3|mirror|hot1|hidden3v|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw3,2,224,straight,35.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,224,3,28.0,True,6,5,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
