state,area,section,set,draw,col,method,mode,earliest_exact_step,earliest_vtrac_step,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_family_exact_step,earliest_family_vtrac_step,final_value,final_exact_match,final_vtrac_match,final_drop_exact_match,final_drop_vtrac_match,final_family_exact_match,final_family_vtrac_match,final_drop_digit,final_vtrac_local_index,match_types
Connecticut4,LS1,Midday,Set3,Draw1,7,A,own,-1,0,-1,2,-1,-1,7,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Midday,Set3,Draw1,7,A,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,B,own,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,B,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,C,own,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,C,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,D,own,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,D,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,E,own,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,E,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,T,own,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,7,T,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,6,A,own,-1,0,-1,2,-1,-1,7,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Connecticut4,LS1,Midday,Set3,Draw1,6,A,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,6,B,own,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,6,B,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,6,C,own,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
Connecticut4,LS1,Midday,Set3,Draw1,6,C,combined,-1,0,-1,-1,-1,-1,,0,0,0,0,0,0,,-1,vtrac
