section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why,family_id,is_exact_straight
Combined,Set1,Draw4,3,369,boxed,8.0,"R4,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,963,1.0,boxed|cov2|span2|perm2,24,False
Combined,Set1,Draw4,3,3469,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,9634,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw4,4,3699,straight,8.0,R8,False,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,9936,1.0,straight|cov1|span2,24,False
Combined,Set1,Draw5,3,3689,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,9683,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw6,2,3689,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,9683,1.0,straight|cov1|mirror,24,False
Combined,Set1,Draw6,1,369,straight,8.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,1.0,963,1.0,straight|cov1|hot1,24,False
Combined,Set1,Draw7,1,3689,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,9683,1.0,straight|cov1|mirror,24,False
Combined,Set3,Draw1,7,355,straight,8.0,R6,False,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,553,1.0,straight|cov1|span3,4,False
Combined,Set3,Draw1,6,355,straight,8.0,R6,False,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,553,1.0,straight|cov1|span3,4,False
Combined,Set3,Draw1,5,355,straight,8.0,R6,False,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,553,1.0,straight|cov1|span3,4,False
Combined,Set3,Draw1,6,3468,straight,8.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,8364,1.0,straight|cov1|mirror,24,False
Combined,Set2,Draw1,5,035,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,053,1.0,straight|cov1|span2|mirror,4,False
Combined,Set1,Draw1,5,003,straight,8.0,R2,False,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,003,1.0,straight|cov1|span2|hot1,4,False
Combined,Set1,Draw1,7,0355,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,0553,1.0,straight|cov1|mirror,4,False
Combined,Set1,Draw1,6,035,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,053,1.0,straight|cov1|span2|mirror,4,False
